scene	Nc	Hc	full_histogram
1LXtFkjw3qL_region25	7	2.12415466399445	"[71968. 17535.     0.     0.     0.     0.     0. 20844.     0.     0.
  8041.     0.     0.  4622.     0.     0.     0.     0.     0.  2484.
 15116.]"
1LXtFkjw3qL_region6	13	2.6815198384068495	"[43200. 24075.  3341.     0. 12088.     0.  2332.   482. 11075.     0.
  1909.  1685.     0.     0.  3260.     0.     0.   619.     0.   730.
 33292.]"
1LXtFkjw3qL_region29	8	2.710418132633031	"[42197. 22324.     0.     0.     0. 10960.     0.  5735.  5658. 15293.
     0.     0.     0.     0.     0.     0.     0.     0.     0. 11554.
 24016.]"
1LXtFkjw3qL_region3	6	1.5348623173666163	"[40052.  3450.     0.     0.     0.     0.     0.     0.     0.     0.
   529.     0.     0.     0.     0.     0.  2090.  4281.     0.     0.
  8826.]"
1LXtFkjw3qL_region4	7	1.8424670533739391	"[50266.  2219.  1939.     0.     0.     0.     0.  2548.  1041.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0. 22354.
 14319.]"
1LXtFkjw3qL_region30	9	2.5046045535013484	"[54355. 23298. 15568. 11898.     0.     0.     0.  4034.  5977.     0.
  1433.     0.     0.     0.     0.     0.     0.     0.     0.  1157.
 23472.]"
1LXtFkjw3qL_region7	4	1.8232564138661462	"[44781. 13737.     0.     0.     0.     0.     0. 33367.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 14492.]"
1LXtFkjw3qL_region8	6	1.7242139761660096	"[59799.  3445.     0.     0.     0.     0.     0.  6598.  7702.     0.
   977.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 32368.]"
1pXnuDYAj8r_region15	8	2.243697088947523	"[23742. 20491.     0.     0. 10194.  9511.  1237.   911.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  1501.
 48738.]"
1LXtFkjw3qL_region27	4	1.3157223818973571	"[ 2426. 14034.     0.     0.     0.     0.     0.  3465.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 39099.]"
1LXtFkjw3qL_region5	7	2.532490976838406	"[22623. 26163.     0.     0. 11815.     0.  4620. 15335.  2206.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 15546.]"
1pXnuDYAj8r_region10	6	2.131221187899304	"[20192.  6354.     0.     0.     0.     0.     0. 28047.     0.     0.
  4295.     0.     0.     0.     0.     0.     0.     0.     0.  3762.
  5057.]"
1pXnuDYAj8r_region0	9	2.7183406720105077	"[38080. 12280. 25349.     0.     0.     0.     0.  5956. 13408.     0.
     0.  4127.     0.     0.     0.     0.     0.   317.  9562.     0.
 24044.]"
1pXnuDYAj8r_region11	8	2.279022196683255	"[43706.  8265.     0.     0.     0.     0.     0. 13333.     0.     0.
  3974.     0.     0.     0.     0.     0.  6761.  4222.     0.   573.
  7584.]"
1pXnuDYAj8r_region2	10	2.816867468727883	"[51364. 19294.     0. 15588.  8858.     0.     0.  3100. 38106.     0.
  3371.     0.     0. 11906.     0.     0.     0.     0.     0.  3127.
 19601.]"
1pXnuDYAj8r_region16	11	2.876553371477567	"[58592. 29022.  8758.     0. 17994.     0. 10673.     0.  3172.     0.
  3535.     0.  3737.  7630.  6836.     0.     0.     0.     0.     0.
 24944.]"
1pXnuDYAj8r_region12	4	1.7186722902033251	"[36640. 17567.     0.     0.     0.     0.     0.  5247.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 13656.]"
1pXnuDYAj8r_region18	10	2.7788798657316307	"[62960. 15938.     0.     0. 11189.     0.  2897.  8553. 13938.     0.
  6113.     0.  5284. 13289.     0.     0.     0.     0.     0.     0.
 18728.]"
1pXnuDYAj8r_region22	12	3.017758304034328	"[38813.  6994.  5105.     0.     0.     0.     0. 18023. 13922.     0.
  2764.  2759.     0.     0.     0.  6603.  4155.   531.  8585.     0.
 13308.]"
1pXnuDYAj8r_region20	6	2.03578360397863	"[57608. 22310.     0.     0.     0.     0.     0. 21676.  3850.     0.
  2682.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 13698.]"
1pXnuDYAj8r_region27	8	2.3946588474428747	"[57194. 11480.  4346.     0.     0.     0.     0. 27677.  9263.     0.
     0.  2951.     0.     0.     0.     0.     0.     0.     0.  5441.
 15480.]"
1pXnuDYAj8r_region14	12	3.2138514090831527	"[36464. 25388.  2374.     0.  7537. 13073.  9323.  5787. 14683.     0.
  2306.     0.     0. 26836.     0.     0.     0.     0.     0.  8132.
 21101.]"
1pXnuDYAj8r_region1	8	2.353324071094698	"[30578. 13016. 73356.     0.     0.     0.     0. 31748.  9164.     0.
  2643.     0.     0.     0.     0.     0.  2119.     0.     0.     0.
 12447.]"
1pXnuDYAj8r_region21	6	2.5226535099032823	"[25783. 16623.     0.     0.     0.     0.     0. 16476.  8853.     0.
 16058.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 17191.]"
1pXnuDYAj8r_region23	10	2.5872573322395707	"[82304. 17210.     0. 10297. 13521.     0. 12167.  1781.  4493.     0.
  7531.     0.     0.  9246.     0.     0.     0.     0.     0.     0.
 18815.]"
1pXnuDYAj8r_region13	12	3.0224853595886185	"[26918. 22412. 35275.     0. 25701.     0.  6517.  2636.  4323.     0.
     0.  7783.  1182.     0.  4986.     0.     0.  1394.     0.     0.
 22917.]"
1pXnuDYAj8r_region19	5	1.9900587103855083	"[36989. 24280.     0.     0.     0.     0.     0. 28232.  7663.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  3455.]"
1pXnuDYAj8r_region26	5	1.4552855269585605	"[49773.  5913.     0.     0.     0.     0.     0.     0.     0.     0.
  3466.     0.     0.     0.     0.     0.     0.     0.     0.  8456.
  3626.]"
1pXnuDYAj8r_region17	10	2.859293983836741	"[45294. 16015.     0.     0.  6274.  9086.  3626.     0. 21137.     0.
  2868.     0.     0. 16353.     0.     0.     0.     0.     0.  4539.
 11992.]"
1pXnuDYAj8r_region25	8	2.6027075949188143	"[27651.  7169. 24637.     0.     0.     0.     0. 18850.  3834.     0.
     0.  6024.     0.     0.     0.     0.     0.  1231.     0.     0.
 16466.]"
1pXnuDYAj8r_region4	9	1.8254380753774873	"[82583.  9798.  1566.     0.     0.     0.     0.  5519.  7192.     0.
  2099.     0.     0.     0.     0.     0.     0.  1169.     0. 12106.
  3368.]"
1pXnuDYAj8r_region5	10	2.660788184875764	"[40116.  7033.  9063.     0.     0.     0.     0. 30419.     0.     0.
  2528.     0.     0.     0.     0.  6985.  2496.  1050.  6218.     0.
 12388.]"
1pXnuDYAj8r_region24	6	2.0828698704868067	"[46939. 27386.     0.     0.     0.     0.     0. 18028.  4028.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  2867.
 10063.]"
29hnd4uzFmX_region1	5	1.4301889268768417	"[93838. 28271.     0.     0.  2460.     0.     0.  6140. 10291.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
1pXnuDYAj8r_region7	10	2.6284195367166476	"[53941.  9540.  3961.     0.     0.     0.     0. 20908.  7552.     0.
     0.     0.     0.     0.     0.  5213.  4993.   485.  8179.     0.
 14984.]"
1pXnuDYAj8r_region8	9	2.6084477091274443	"[65288. 13372.     0. 11692.  2888.     0.     0. 17701.  4085.     0.
  7905.     0.     0. 12943.     0.     0.     0.     0.     0.     0.
 20600.]"
1pXnuDYAj8r_region28	6	2.203282623423873	"[45360.  9619.     0.     0.     0.     0.     0. 14455.     0.     0.
  5607.     0.     0.     0.     0.     0.     0.     0.     0.  7303.
 22055.]"
1pXnuDYAj8r_region3	10	2.992754045241635	"[47488. 20822.     0.     0. 15809.     0.  9985.  3415.  9326.     0.
  4378.     0. 16276. 16862.     0.     0.     0.     0.     0.     0.
 22145.]"
29hnd4uzFmX_region2	5	1.5428906276508725	"[87234. 14062.     0.     0.     0.     0.     0. 16019.  7529.     0.
     0.     0.     0.     0.     0.     0.  5786.     0.     0.     0.
     0.]"
29hnd4uzFmX_region0	5	1.5147372132257992	"[122975.  26248.      0.  17342.      0.      0.      0.  10832.   6132.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.]"
29hnd4uzFmX_region13	4	1.9059631504643102	"[42121. 18565.     0.     0.     0.     0.     0. 20731.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 40510.]"
29hnd4uzFmX_region14	4	1.3440204484913065	"[42603. 13224.     0.     0.     0.     0.     0.     0. 11096.     0.
   318.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
1pXnuDYAj8r_region6	9	2.6139770858041715	"[45527. 16706.     0. 12682.  5684.     0.   653.     0. 24010.     0.
  2308.     0.     0.  5813.     0.     0.     0.     0.     0.     0.
 22832.]"
29hnd4uzFmX_region11	4	1.948471363809136	"[16783. 13006.     0.     0.     0.     0.     0. 14565.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 25456.]"
29hnd4uzFmX_region10	6	1.9083351816009804	"[55904. 11814.     0.     0.     0. 14432.     0.  6452. 11049.     0.
  1054.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
29hnd4uzFmX_region5	12	2.689197453546776	"[73238. 14259. 10916.     0.     0.     0.     0. 14779. 10404.     0.
     0.     0.     0.    74.     0.  7760.  4493.   510. 12682.  1110.
 19356.]"
29hnd4uzFmX_region6	5	1.907232472972223	"[83708. 27000.     0.     0.     0.     0.     0. 12907.  9300.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 32986.]"
29hnd4uzFmX_region3	3	1.057516832175687	"[26184.  4768.     0.     0.     0.     0.     0.  3923.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
1pXnuDYAj8r_region9	10	3.022108413638975	"[44605. 23814.  4129.     0. 25595.     0. 11531.     0. 13605.     0.
  5029.     0.     0. 12093.     0.     0.     0.     0.     0. 10076.
 22106.]"
29hnd4uzFmX_region12	3	1.21031184052698	"[34370.  6697.     0.     0.     0.     0.     0.     0.  9179.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
29hnd4uzFmX_region7	5	1.5814756722126164	"[103736.  20640.      0.      0.      0.      0.      0.  18672.      0.
      0.    232.      0.      0.      0.      0.      0.      0.      0.
      0.      0.  25908.]"
29hnd4uzFmX_region9	10	2.9327765859892247	"[30194. 16450. 15750.     0. 15554.     0.  5864.  5823.  6112.     0.
     0.  2844.     0.     0.     0.     0.     0.  1009.     0.     0.
 16298.]"
2n8kARJN3HM_region1	11	2.398854107563777	"[82018. 36852.  4291.     0.  4631.     0.     0. 12554. 10005.     0.
  1273.     0.     0.     0.     0.     0.  2295.  3541.     0.  2139.
 15530.]"
2n8kARJN3HM_region12	7	2.3772925102820244	"[34313. 11796.     0.     0.     0.     0.     0.  1790. 11052.     0.
  5665.     0.     0.     0.     0.     0.     0.     0.     0.  5934.
 11761.]"
29hnd4uzFmX_region8	7	2.1861462818268858	"[49685.  8070.     0.     0.  4462.     0.     0.  6717.  8504.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  3649.
 18393.]"
2n8kARJN3HM_region16	6	2.3054019088356847	"[44817. 14238.     0.     0.     0.     0. 10113. 20462.  6227.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 16741.]"
29hnd4uzFmX_region4	9	2.513226674233077	"[77218. 19419.     0. 15456. 11386.     0.  3908.  9395. 11235.     0.
  1630.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 31704.]"
2n8kARJN3HM_region18	8	2.063774862404216	"[ 8033. 15240.     0.     0.  3017. 11944.     0.  3583.     0.     0.
     0.     0.     0. 55125.     0.     0.     0.     0.     0.  4099.
 93752.]"
2n8kARJN3HM_region0	8	2.6770471659598805	"[60732. 26926.     0.     0. 21590.     0. 18987. 14055.  3894.     0.
 11284.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 38720.]"
2n8kARJN3HM_region20	4	1.5472150715179311	"[ 56321.  17952.      0.      0.      0.      0.      0.  14017.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0. 116669.]"
2n8kARJN3HM_region15	9	2.482566037029799	"[80289. 21613.     0.     0. 27470.     0.  2681.  6587.  9913.     0.
  3336.     0.     0.     0.     0.     0.     0.     0.     0.  9730.
 22777.]"
2n8kARJN3HM_region24	6	2.3126760511242193	"[14516.  7159.     0.     0.     0.     0.     0. 11169.  4903.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  1073.
 14566.]"
2n8kARJN3HM_region21	7	1.7209459438842822	"[ 21094.  19201.      0.      0.   6822.      0.   4758.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
  15945.   2997. 134535.]"
2n8kARJN3HM_region11	10	2.649991567878162	"[5.3576e+04 2.4423e+04 0.0000e+00 0.0000e+00 1.6103e+04 0.0000e+00
 5.5840e+03 5.1630e+03 1.7779e+04 4.5705e+04 1.8070e+03 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 9.1110e+03 5.3000e+01]"
2n8kARJN3HM_region10	8	2.589767301962537	"[33769. 10033. 45260.     0.     0.     0.  8680. 15318. 25737.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.   296.
 13791.]"
2n8kARJN3HM_region17	6	2.0927957732641453	"[50939. 10640.     0.     0.     0.     0.  3386. 12067.  9590.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 14292.]"
2n8kARJN3HM_region13	14	3.2384080027760738	"[42256. 17438.  6203.     0. 19609.     0. 10876.  9415. 11973. 28242.
  1882.     0.  3217.   545.     0.     0.     0.  1434.     0.  4372.
 14926.]"
2n8kARJN3HM_region14	7	2.0132874925543085	"[72973. 28634.     0.     0.     0.     0.  2896.  2714.     0.     0.
  4071.     0.     0.     0.     0.     0.     0.     0.     0.  9076.
 56305.]"
2n8kARJN3HM_region4	4	1.2006478482335683	"[48507.  6082.     0.     0.     0.     0.     0.     0.  7088.     0.
     0.     0.     0.     0.     0.     0.  3277.     0.     0.     0.
     0.]"
2n8kARJN3HM_region2	5	2.081302205002018	"[30210. 13496.     0.     0.     0.     0.     0. 21853.     0.     0.
  4220.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 10501.]"
2n8kARJN3HM_region3	7	2.0897002464824492	"[48364.  9794.  4776.     0.     0.     0.     0. 12491.     0.     0.
     0.     0.     0.     0.     0.     0.     0.  2515.     0.  2216.
 11145.]"
2n8kARJN3HM_region28	2	0.9606245015286008	"[15502.  9652.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
2n8kARJN3HM_region19	6	1.4889732602567167	"[ 24981.  17201.      0.      0.      0.      0.   5228.   2118.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.  10216. 135180.]"
2n8kARJN3HM_region6	5	2.089618809741151	"[20072. 13448.     0.     0.     0.     0.     0.     0.  9853.     0.
     0.     0.     0.     0.     0.     0.  2901.     0.     0.     0.
  6634.]"
2n8kARJN3HM_region8	8	2.6442683807920995	"[35461. 21530.     0.     0.     0.     0.  1738.  9784. 20705.     0.
     0.     0.     0.     0.     0.     0.     0.     0.  5761.  9169.
 30647.]"
5LpN3gDmAk7_region1	9	2.1580857210539666	"[54225.  8676.  4384.     0.     0.     0.     0.  4495.     0.     0.
     0.  1950.     0.     0.     0.     0.  2884.   353.  7757.     0.
 13253.]"
2n8kARJN3HM_region22	4	1.7525609762972238	"[17306.  5744.     0.     0.     0.     0.     0. 23790.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  6092.]"
2n8kARJN3HM_region5	8	2.507299668782114	"[20634.  9220.  2292.     0.     0.     0.     0. 13828.     0.     0.
     0.  1647.     0.     0.     0.     0.     0.  2372.     0.  2178.
 10718.]"
2n8kARJN3HM_region27	9	2.6195017537790597	"[26566. 21061.  1953.     0. 29325.     0.  9504. 11002.     0.     0.
  6008.     0.     0.  5944.     0.     0.     0.     0.     0.     0.
 64814.]"
5LpN3gDmAk7_region11	9	2.0304414149528682	"[90713. 21395.  1574.     0.     0.     0.     0.  6908.  3164.     0.
     0.     0.     0.     0.     0.     0.     0.  3045.  7058.  1469.
 30491.]"
2n8kARJN3HM_region23	11	2.788453179495841	"[44710. 19552.  3954.     0. 17067.     0.  8554.  3046. 17660.     0.
  1337.  1745.     0.     0.  1060.     0.     0.     0.     0.     0.
 16577.]"
5LpN3gDmAk7_region0	8	2.474798992004598	"[54808.  9541.     0. 16426.  4653.     0.     0. 17918.     0.     0.
  5374.     0.     0.     0.     0.     0.     0.     0.     0.  3678.
 30979.]"
5LpN3gDmAk7_region15	6	1.7673076829879908	"[59194.  8361. 17283.     0.     0.     0.     0.     0.     0.     0.
     0.  3940.     0.     0.     0.     0.     0.   786.     0.     0.
 10669.]"
2n8kARJN3HM_region7	8	2.677683255901096	"[52409. 18193.     0. 22086.     0.     0.  9845. 34128. 10420.     0.
  3524.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 20894.]"
2n8kARJN3HM_region26	6	1.743654565578906	"[69555.  9333.     0.     0.     0.     0.     0. 10732.  2440.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  2642.
 21388.]"
5LpN3gDmAk7_region2	7	2.323133715110657	"[ 8398. 21778.     0.  3806.     0.  4193.   951.  6368.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 21576.]"
2n8kARJN3HM_region9	11	2.9471100754870685	"[43055. 16564. 15846.     0.  3815.     0. 19422.  5999.  3657.     0.
     0.  4999.     0.     0. 10081.     0.     0.  1058.     0.     0.
 27762.]"
5LpN3gDmAk7_region16	7	1.7373839941051565	"[68620.  8488.     0.     0.     0.     0.     0.  8637.  2362.     0.
     0.     0.     0.     0.     0.     0.  2185.  5341.     0.     0.
  8087.]"
2n8kARJN3HM_region25	6	1.5232998882751088	"[84192.  9038.     0.     0.     0.     0.     0.  7624.  2574.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  1899.
 18837.]"
5LpN3gDmAk7_region10	4	1.5745887761390214	"[38839.  5334.     0.     0.     0.     0.     0. 15069.     0.     0.
     0.     0.     0.     0.     0.     0.  7070.     0.     0.     0.
     0.]"
5LpN3gDmAk7_region14	7	2.398106554600328	"[53397. 33161.     0.     0.  5803. 10004.     0.     0.     0.     0.
  7240.     0.     0.     0.     0.     0.     0.     0.     0. 11043.
 34252.]"
5LpN3gDmAk7_region13	3	1.2514875749897156	"[29051.  9783.     0.     0.  5432.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
5LpN3gDmAk7_region25	4	1.9318516301385997	"[10707.  4719.     0.     0.     0.     0.     0. 11347.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  8625.]"
5LpN3gDmAk7_region23	8	2.6893361752584055	"[31173.  6594. 10483.     0.     0.     0.     0. 12675.     0.     0.
     0.  8762.     0.     0.     0.     0.     0.  1167.     0. 14511.
 12129.]"
5LpN3gDmAk7_region22	7	2.284113632616411	"[12600. 34893.     0.     0. 15894.     0.  1864.  3574.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  2923.
 25052.]"
5LpN3gDmAk7_region21	6	2.083415958420927	"[68015. 31883.     0.     0. 10715.  3385.     0.     0.     0.     0.
  9364.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 27876.]"
5LpN3gDmAk7_region12	6	1.9744024142477883	"[103828.  21337.      0.      0.      0.      0.      0.  16445.   7560.
      0.   8280.      0.      0.      0.      0.      0.      0.      0.
      0.      0.  41627.]"
5LpN3gDmAk7_region17	3	1.021281410400904	"[45019.  7030.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  6791.]"
5LpN3gDmAk7_region19	8	2.4850862656671175	"[34180. 18956.     0.     0.  3255.  9617.  3865.     0.     0.     0.
  9700.     0.     0.     0.     0.     0.     0.     0.     0.  4967.
 42409.]"
5LpN3gDmAk7_region5	8	2.404135467554907	"[64557. 19814.     0. 13599.  5127.     0.     0.  7478.     0.     0.
  6590.     0.     0.     0.     0.     0.     0.     0.     0.  5650.
 43204.]"
5LpN3gDmAk7_region20	5	2.1744731122651753	"[28199. 26271.     0.     0. 21830.  5756.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 32096.]"
5LpN3gDmAk7_region7	6	2.183665169544678	"[26344. 49205.     0.     0.  8422.  9010.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  5262.
 16763.]"
5LpN3gDmAk7_region6	4	1.5356461844478615	"[47619. 18615.     0.     0. 13088.     0.  2947.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
5LpN3gDmAk7_region18	7	2.284893137574509	"[34948. 36290. 14055.     0.     0.     0.     0.  4954.     0.     0.
     0.  6474.     0.     0.     0.     0.     0.  2698.     0.     0.
 52907.]"
5LpN3gDmAk7_region8	8	2.266150592154089	"[65665. 18855.     0. 13350.  4991.     0.     0.  8895.     0.     0.
  3526.     0.     0.     0.     0.     0.     0.     0.     0.  1269.
 42968.]"
5q7pvUzZiYa_region10	2	0.9398229706813097	"[25978.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 14398.]"
