scene	Nb	Pn	H	base_histogram	unique_base_labels
scene0659_01	3	0.1722369522746302	0.9622145481165204	[11057  4173   280]	[0. 1. 7.]
scene0263_01	5	0.032111076874235506	2.1076340957975495	[18427 15315 12746  3936  4800]	[0. 1. 2. 4. 8.]
scene0141_01	7	0.042835121073928964	2.384080159354036	[40618 16807  3333  7242  6605 12247  9292]	[0. 1. 2. 4. 5. 7. 8.]
scene0659_00	3	0.13759873617693522	1.165019159651789	[15537  8712  1147]	[0. 1. 7.]
scene0584_00	7	0.0	2.27412534620938	[37075 56940  3272 19229 15627  2479 11626]	[0. 1. 2. 4. 6. 7. 8.]
scene0263_00	6	0.029677727761622117	2.185689796670218	[16660 18062  3533  5297  1101  8695]	[ 0.  1.  2.  4.  6. 13.]
scene0584_01	7	0.0	2.025187039548201	[69704 33180  3772 19203 11299  1462  4032]	[0. 1. 2. 4. 6. 7. 8.]
scene0069_00	4	0.0	1.4282958559967938	[69798 28168  6644  7470]	[0. 1. 6. 7.]
scene0020_01	4	0.22106380469394976	1.7058316745623108	[21853 16242  2638  8163]	[0. 1. 4. 8.]
scene0285_00	6	0.0	1.9492852472786197	[51710 59390 26504 15456  1198  1726]	[0. 1. 4. 6. 7. 8.]
scene0469_01	6	0.07543293486659697	2.3076031906908003	[18643 22683  5116 13090  2106 11794]	[0. 1. 2. 4. 7. 8.]
scene0020_00	5	0.20354613206239397	1.9260495791294379	[20058 15558  2162  2459 10200]	[0. 1. 4. 7. 8.]
scene0469_02	6	0.0384110192055096	2.3169592986161662	[21168 24502  4120 14678  4758  9086]	[0. 1. 2. 4. 6. 8.]
scene0469_00	5	0.06227478668282644	2.172551045260877	[25038 21556  4830 13935 19652]	[0. 1. 2. 4. 8.]
scene0564_00	4	0.05565903249638409	1.4660891046041755	[31984 11555  1681  7117]	[0. 1. 2. 7.]
scene0117_00	6	0.0986961152299118	1.9336690836395445	[24368 15158 16780  1578  2079   901]	[0. 1. 2. 4. 6. 7.]
scene0027_02	4	0.020607838404841913	1.7670343070853003	[41129 31959  7618 15579]	[0. 1. 4. 5.]
scene0291_00	6	0.0	1.9383135537259082	[35202 51563 63729  8148   985  4786]	[0. 1. 4. 6. 7. 8.]
scene0027_00	5	0.08167217133978279	1.7858865839990792	[51656 32031  6836 17014  1559]	[0. 1. 4. 5. 7.]
scene0481_00	4	0.1631382263309328	1.6882986460979583	[44753 83715 12845 22579]	[0. 1. 4. 6.]
scene0027_01	5	0.020504959944471757	1.7000751723648284	[59194 33074  7122 17257   521]	[0. 1. 4. 5. 7.]
scene0330_00	5	0.0	1.8683191306467093	[ 3889 50649 11501 19714 11280]	[0. 1. 4. 5. 6.]
scene0515_01	9	0.08208830648526834	2.1989282617712305	[91408 34494 13221  8748  2010  5993  3018  9184  6986]	[0. 1. 2. 3. 4. 5. 6. 7. 8.]
scene0481_01	4	0.12033226354540306	1.7132985501890297	[46886 93623 15712 27739]	[0. 1. 4. 6.]
scene0291_02	6	0.0	2.038608562488432	[51647 61802 67459 11525  1788  8347]	[0. 1. 4. 6. 7. 8.]
scene0515_00	9	0.07657515842760022	2.2785726218043654	[91574 33477 18116  7547  3033  6879  1943 14791  6823]	[0. 1. 2. 3. 4. 5. 6. 7. 8.]
scene0291_01	6	0.0	1.9222111486328934	[36257 94769 64251 13443  1358  6646]	[0. 1. 4. 6. 7. 8.]
scene0418_00	6	0.0	2.384759282923457	[27184 32524 24493  4794 12137 35869]	[ 0.  1.  3.  4.  7. 13.]
scene0673_03	5	0.07014981664112215	1.7277799988909748	[39484 20096  6337  7254  1314]	[0. 1. 4. 5. 6.]
scene0515_02	9	0.062121071606598424	2.137266833370693	[110633  35134  13941   7501   2653   6858   2601  12499   8910]	[0. 1. 2. 3. 4. 5. 6. 7. 8.]
scene0418_01	6	0.0	2.397789439205377	[32743 33884 26494  4401 15651 34679]	[ 0.  1.  3.  4.  7. 13.]
scene0024_01	8	0.013136187046531017	2.5866034076962343	[46619 34208  5671 14573  8756 10924  3166 26015]	[0. 1. 2. 4. 5. 6. 7. 8.]
scene0035_01	6	0.046645349489509706	2.1347341895545275	[25567 10458  8974  3001  2312  5303]	[0. 1. 3. 4. 7. 8.]
scene0028_00	5	0.10341061100364735	1.6488009087348832	[104026  41995  20763   8703   4401]	[0. 1. 4. 5. 6.]
scene0418_02	5	0.0	2.0597104754415714	[56231 29421  6097 19452 26861]	[ 0.  1.  4.  7. 13.]
scene0035_00	6	0.04365202452816683	2.317969905407342	[20034 11530  8194  1736  5701 14869]	[0. 1. 3. 4. 7. 8.]
scene0585_01	6	0.0	1.6771226655996592	[51747 18101  2043  3862  3719  4814]	[0. 1. 2. 4. 6. 7.]
scene0024_00	8	0.011662340511095675	2.631938951119132	[54297 41184 15815 14980  7615 15040  3526 25857]	[0. 1. 2. 4. 5. 6. 7. 8.]
scene0024_02	8	0.011501553630008697	2.6056736779208443	[56715 44138 15388 15181  7381 14374  3649 25928]	[0. 1. 2. 4. 5. 6. 7. 8.]
scene0293_00	4	0.2499929047821768	1.3780968092929344	[20567 13064   328  3387]	[0. 1. 2. 6.]
scene0362_01	8	0.02100986357805875	2.250391950895023	[55058 23850  2779  2336  6925  5798  6468 11271]	[ 0.  1.  2.  4.  5.  6.  7. 13.]
scene0362_00	8	0.03145864627299571	2.1738439850920948	[71202 26493  3683  2553  5616  5861 14685  9122]	[ 0.  1.  2.  4.  5.  6.  7. 13.]
scene0233_00	7	0.0718611255549778	2.5258674266003607	[47670 17409 13263 14620  7484  8874 16892]	[0. 1. 2. 3. 4. 7. 8.]
scene0293_01	4	0.0	1.5123506552656256	[29559 14637   602 10232]	[0. 1. 2. 6.]
scene0362_03	7	0.011896007548888816	2.2213600684747346	[52639 23220  2233  6639  9937  8633  8942]	[ 0.  1.  4.  5.  6.  7. 13.]
scene0358_00	6	0.0	2.2356974363346858	[43426 26157 21265  9081  4478  8888]	[0. 1. 4. 6. 7. 8.]
scene0358_01	6	0.0	2.2229620219234145	[34976 26747 22695  9434  1589  9212]	[0. 1. 4. 6. 7. 8.]
scene0413_00	4	0.026398992725237828	1.6324348400775115	[20572  7695  3751  4076]	[0. 1. 2. 7.]
scene0362_02	8	0.008892135767731478	2.3027661690204004	[62627 27015  2653  2042  6842  9205 15404 10831]	[ 0.  1.  2.  4.  5.  6.  7. 13.]
scene0592_01	7	0.07379954496467489	2.211874276046642	[26511 17403   930  7795  3684  3017  4484]	[0. 1. 2. 4. 6. 7. 8.]
scene0233_01	7	0.04668654083076034	2.4535849144222666	[55123 16162  9768  9829  8713 14378 18030]	[0. 1. 2. 3. 4. 7. 8.]
scene0358_02	6	0.0	2.2130093738340175	[32442 26833 20079  8174  1129 10071]	[0. 1. 4. 6. 7. 8.]
scene0673_00	7	0.05624388076486016	2.0776388352522384	[71983 43659  9403  8086  2127  8515 10533]	[ 0.  1.  4.  5.  6.  7. 13.]
scene0321_00	6	0.04567028710010485	2.121235966782821	[41138 24802 16497  2676  4341  9521]	[0. 1. 3. 4. 7. 8.]
scene0313_00	5	0.0	1.785765037184583	[ 1969 24721  1502 16631  8769]	[0. 1. 4. 5. 6.]
scene0673_01	7	0.051120035018936874	2.055621612726304	[70690 44864  8559  8159  2355  7791  9420]	[ 0.  1.  4.  5.  6.  7. 13.]
scene0585_00	4	0.0	1.3358852261513208	[55856 23550  2919  5431]	[0. 1. 2. 6.]
scene0306_00	7	0.0669391002459135	2.4124172948808864	[3682 2416 1688  348 1460  121 1488]	[ 0.  1.  3.  4.  7.  8. 13.]
scene0194_00	4	0.0	1.5733489007348842	[49817 16359 30279  2209]	[0. 1. 5. 7.]
scene0313_02	4	0.0	1.4716728636213223	[ 1785 29320 26874  4943]	[0. 1. 4. 6.]
scene0313_01	5	0.0	1.9645507810089282	[ 6438 25602  2758 24174  9569]	[0. 1. 4. 5. 6.]
scene0623_01	8	0.03882602651679347	2.3461911968743676	[30115 27159  2361  2116  7302  5267 10086  1566]	[0. 1. 2. 4. 5. 6. 7. 8.]
scene0444_01	2	0.5863375554833821	0.9129629052206907	[1495  730]	[0. 1.]
scene0673_02	7	0.051208848396448035	2.025017834729913	[85209 42000  8416  8152  1927 11291 11614]	[ 0.  1.  4.  5.  6.  7. 13.]
scene0569_01	6	0.0	1.7891560431727078	[51946 28062 10292  7459   401  2619]	[0. 1. 4. 6. 7. 8.]
scene0623_00	8	0.0	2.4638899013523137	[34343 29513  7173  2848  8491 10565  9576   898]	[0. 1. 2. 4. 5. 6. 7. 8.]
scene0444_00	2	0.55005690514501	0.9658734515443528	[3333 2146]	[0. 1.]
scene0569_00	6	0.0	2.0121690191783257	[41108 39117 16669  7890  4217  1595]	[0. 1. 4. 6. 7. 8.]
scene0480_00	7	0.0	2.6531955321983713	[10761 16668  7913  3812  9035  4531 13795]	[ 0.  1.  2.  4.  5.  6. 13.]
scene0032_00	6	0.04156297376927258	2.180162718190262	[25182  9394 11010  1718  5517  4864]	[0. 1. 3. 4. 7. 8.]
scene0480_01	7	0.0	2.6196267821114594	[11997 18092 12421  3855  9902  3134  8680]	[ 0.  1.  2.  4.  5.  6. 13.]
scene0032_01	6	0.0458641435424452	2.2288230114295273	[19680 14741 14895  1429  6715  3375]	[0. 1. 3. 4. 7. 8.]
scene0037_00	3	0.1366668896896476	1.4531515550222545	[73312 25649 39734]	[1. 4. 6.]
scene0053_00	6	0.03296500920810313	2.081979520809476	[11896 19152 21647  5757  1224  1552]	[ 0.  1.  5.  6.  8. 13.]
scene0610_00	4	0.3359701661204656	1.616226081111023	[13305  4235  2918  2272]	[0. 1. 2. 7.]
scene0610_01	4	0.2779936827134565	1.3789812114107098	[24169  3292  2933  4710]	[0. 1. 2. 7.]
scene0610_02	3	0.30795416935903297	1.0370099687262833	[24304  2916  4988]	[0. 1. 7.]
scene0055_00	6	0.1266050253356318	2.156033177449566	[32825 15396 13730  2529  7587  4077]	[0. 1. 3. 4. 7. 8.]
scene0673_05	8	0.03318219918171784	2.2221064856437067	[103384  58820  12146   9458  15833   2215  18190   7319]	[0. 1. 2. 4. 5. 6. 7. 8.]
scene0055_02	5	0.11800503778337532	2.0252582870303963	[37560 14276 19642  7942  5873]	[0. 3. 4. 7. 8.]
scene0055_01	6	0.11496060044546765	2.087911552497167	[35857 17633 15780  2115  5338  4622]	[0. 1. 3. 4. 7. 8.]
scene0052_02	3	0.0	0.983184550700394	[98396 27223  5853]	[0. 1. 8.]
scene0306_01	7	0.01569947267011459	2.4063670982094303	[28039 10923  8991  1176  7164  5015  8402]	[ 0.  1.  3.  4.  7.  8. 13.]
scene0052_01	3	0.0	0.9302615939781229	[99117 29330  3471]	[0. 1. 8.]
scene0364_00	7	0.037192210930845265	2.192429435236802	[33217 16060  1873 14982  2632  4633  3281]	[0. 1. 2. 3. 4. 7. 8.]
scene0673_04	8	0.05455398198904652	2.293705919955383	[110927  59747  13265  10266  21250   2497  16392  14158]	[0. 1. 2. 4. 5. 6. 7. 8.]
scene0364_01	7	0.03579636193666498	2.169023154046397	[30986 18484  2413  9429  2875  2380  3968]	[0. 1. 2. 3. 4. 7. 8.]
scene0052_00	3	0.0	1.003993157265978	[110629  34364   6178]	[0. 1. 8.]
scene0613_01	6	0.0	2.24843968358795	[57832 16826 19300 22026 10206  7566]	[0. 1. 2. 3. 7. 8.]
scene0383_00	7	0.03427427427427428	2.45252069904586	[18974 13065  6007  3249  1299  7091  5677]	[0. 1. 2. 4. 6. 7. 8.]
scene0613_00	5	0.0	2.002122040003985	[53384 18061 24492  9686  9236]	[0. 1. 3. 7. 8.]
scene0401_00	6	0.0	2.091669940551456	[47968 71436 51952 28787   890  5663]	[0. 1. 4. 6. 7. 8.]
scene0135_00	4	0.12992743235979215	1.4651431033546198	[10241  6200  2293   278]	[0. 1. 2. 7.]
scene0613_02	6	0.0	2.2519427125864837	[55805 15989 26551 19070  9875  6910]	[0. 1. 2. 3. 7. 8.]
scene0383_01	7	0.02487356252634114	2.2124981958214294	[28628 11981  6462  2704   842  3648  7978]	[0. 1. 2. 4. 6. 7. 8.]
scene0560_00	6	0.051378876301636345	1.888324710650882	[70907 19370  9298  2442 17220  6742]	[0. 1. 3. 4. 7. 8.]
scene0065_01	4	0.16819590571731508	1.5680295055744204	[20369  9463  3563  2478]	[0. 1. 2. 7.]
scene0517_00	8	0.05426169859401347	2.413559081471915	[36630 19592 16944  8984  5582  4234  4234   252]	[0. 1. 3. 4. 5. 6. 7. 8.]
scene0383_02	7	0.02949731714205027	2.3325666810912993	[29307 12891  9870  5028  1226  5216  5699]	[0. 1. 2. 4. 6. 7. 8.]
scene0065_00	4	0.14669258136776914	1.5935804011144339	[26148 10292  4707  4026]	[0. 1. 2. 7.]
scene0065_02	4	0.17369251577998196	1.6424498759600605	[19351  9471  3033  4012]	[0. 1. 2. 7.]
scene0589_00	8	0.097641494460845	2.2021540318853656	[44807 15074  6165  3389  2251   589 11827  6076]	[ 0.  1.  2.  3.  4.  7.  8. 13.]
scene0589_01	8	0.0923354298130885	2.3810733531081425	[38487 17084 16011  8565  1596   950  9063  3504]	[ 0.  1.  2.  3.  4.  7.  8. 13.]
scene0517_01	9	0.06439658991632129	2.7155950199308525	[27021 21110 19067  9271  6754  3668  3915   394  8461]	[ 0.  1.  3.  4.  5.  6.  7.  8. 13.]
scene0275_00	5	0.0	2.0592602012493173	[41537 27375 10193 13876  8280]	[0. 1. 4. 6. 8.]
scene0517_02	9	0.05772671141789627	2.7310399916451447	[29572 17849 17145  9187  6498  3752  5198   267  9557]	[ 0.  1.  3.  4.  5.  6.  7.  8. 13.]
scene0589_02	8	0.09114109642390782	2.4718476151941333	[40086 17151 13206  8638  2354   876 14201  6698]	[ 0.  1.  2.  3.  4.  7.  8. 13.]
scene0448_00	6	0.21268709504003622	2.121174864251228	[20137  5564  4262   521  5442  8706]	[0. 1. 2. 6. 7. 8.]
scene0448_01	6	0.21357537730533177	2.081263375931437	[19921  4960  3578   620  5176  6982]	[0. 1. 2. 6. 7. 8.]
scene0448_02	6	0.2079589216944801	2.128897152170412	[18331  4819  3914   491  5339  8393]	[0. 1. 2. 6. 7. 8.]
scene0509_00	4	0.2752252587683372	1.6820421471583415	[13110  4084  2609  3739]	[0. 1. 2. 7.]
scene0509_01	4	0.2759987061297105	1.727828459717477	[11920  3761  2788  3834]	[0. 1. 2. 7.]
scene0006_00	7	0.045496700115311955	2.333994194736338	[57289 24024 23276  6724  2094  8273 22369]	[ 0.  1.  3.  4.  6.  7. 13.]
scene0509_02	4	0.2682546929129629	1.6826175271024209	[12326  4037  3262  2530]	[0. 1. 2. 7.]
scene0674_01	4	0.09200228631727049	1.9865043047412707	[10411 13482 14713 11306]	[0. 1. 2. 3.]
scene0104_00	4	0.02745659188690842	1.810505921917999	[30996 14904 14128  6992]	[0. 1. 2. 7.]
scene0592_00	7	0.06337465013994402	2.3036514231798506	[101177  91926   2662  39221  21215  14832  28225]	[0. 1. 2. 4. 6. 7. 8.]
scene0674_00	4	0.07984602119821287	1.9099315795578802	[18286 17597  6565 13543]	[0. 1. 2. 3.]
scene0006_01	7	0.04202292075055494	2.305421872878435	[64607 26762 31020  6061  1755  9069 27686]	[ 0.  1.  3.  4.  6.  7. 13.]
scene0071_00	3	0.0	1.0996185041630016	[62038 17093  7046]	[0. 1. 7.]
scene0602_00	3	0.07823716265225983	1.2446995532186396	[16796  5480  3137]	[0. 1. 2.]
scene0502_00	4	0.0	1.340553342125125	[34083 35805  1823  2966]	[0. 1. 4. 7.]
scene0072_00	8	0.0	2.861870971761048	[16400  7653  7755  4597  5466  4345 10708  7253]	[ 0.  1.  2.  3.  6.  7.  8. 13.]
scene0072_01	8	0.0	2.6446059839863567	[15850  7920  6078  4620  2064   304  9544  7251]	[ 0.  1.  2.  3.  6.  7.  8. 13.]
scene0649_00	4	0.11870340448450832	1.884322450903887	[13539  4689 10395  6258]	[0. 1. 2. 7.]
scene0649_01	4	0.1154958916792038	1.8143710066352985	[13607  3469 12578  5727]	[0. 1. 2. 7.]
scene0006_02	8	0.003418463019199814	2.3937511509829688	[83923 26220  6769 22542  6684  7440  6376 34894]	[ 0.  1.  2.  3.  4.  6.  7. 13.]
scene0440_01	6	0.0618775021513825	2.0177216927383257	[38546 27650 16657  4625  5500  1114]	[0. 1. 3. 4. 7. 8.]
scene0440_02	6	0.07562557216966738	2.0155343919310003	[38380 21424 17712  4760  5440   754]	[0. 1. 3. 4. 7. 8.]
scene0072_02	8	0.0	2.759638174598564	[23787  7616  8744  4856  4342  5336 10987  7791]	[ 0.  1.  2.  3.  6.  7.  8. 13.]
scene0440_00	6	0.060734186227288246	2.066643203219167	[38588 24009 14615  4286  6155  2273]	[0. 1. 3. 4. 7. 8.]
scene0502_01	5	0.03286635348257514	1.4913270654399136	[36336 54719  1765  4450  3899]	[0. 1. 4. 7. 8.]
scene0083_00	4	0.2580743217569724	1.6564279207167563	[10432  2604  3047  2144]	[0. 1. 7. 8.]
scene0083_01	4	0.22213497360729398	1.522811440452718	[10006  2539  1529  1789]	[0. 1. 7. 8.]
scene0451_01	9	0.00042417576642554965	2.7547733996524357	[22740 38372 54024  9898  7383  5321 38544  8410 10010]	[ 0.  1.  2.  4.  5.  6.  7.  8. 13.]
scene0579_00	3	0.10353051619368998	1.1037257728649463	[29118 21657  1009]	[0. 1. 7.]
scene0502_02	5	0.028102207566478778	1.4447537875622882	[44458 49718  1837  2423  4046]	[0. 1. 4. 7. 8.]
scene0579_01	3	0.08416325857131071	1.1390931707529088	[30782 23713  1496]	[0. 1. 7.]
scene0451_03	9	0.0028995338862507387	2.6989160032194524	[26185 45526 48888 10338  7580  5500 32990  1658 11946]	[ 0.  1.  2.  4.  5.  6.  7.  8. 13.]
scene0242_01	6	0.0	2.277347921199862	[21063 15217  5184  6180 12962  1911]	[0. 1. 2. 4. 7. 8.]
scene0039_01	5	0.22185068168127559	1.7709416808800607	[31546 10876 10628  1910  3194]	[0. 1. 3. 4. 8.]
scene0039_00	6	0.03114037786940735	2.0086655937560445	[29130 10603 13413  2010  2317  3555]	[0. 1. 3. 4. 7. 8.]
scene0242_00	5	0.0	1.9353183930375242	[35468 15765  6685 18497  2566]	[0. 1. 4. 7. 8.]
scene0579_02	3	0.08073773360397564	1.1297719997166684	[24235 28701  1244]	[0. 1. 7.]
scene0451_04	9	0.005698478757003865	2.756315369252588	[34686 42089 37376 11634  7108  5440 45468  2210 17236]	[ 0.  1.  2.  4.  5.  6.  7.  8. 13.]
scene0242_02	6	0.0	2.258681827886908	[25192 15832  6595  6843 11094  1924]	[0. 1. 2. 4. 7. 8.]
scene0662_00	4	0.2483500993144102	1.723772295733022	[14855  3677  5038  4086]	[0. 1. 2. 7.]
scene0451_02	9	0.0056794354905282205	2.8745574211054934	[34685 42902 43079 11430  7674  9642 37752  9090 14318]	[ 0.  1.  2.  4.  5.  6.  7.  8. 13.]
scene0662_02	4	0.21232417950435364	1.7198758184715017	[15945  4663  5216  3747]	[0. 1. 2. 7.]
scene0662_01	4	0.23672626699388416	1.6280346481530352	[18691  4080  4946  4072]	[0. 1. 2. 7.]
scene0493_00	3	0.0	1.5529653038418574	[20670 13215 13688]	[0. 4. 6.]
scene0493_01	4	0.0	1.7522703105235165	[18200 45844 11862 12810]	[0. 1. 4. 6.]
scene0451_05	9	0.004991776260127383	2.7654622293880586	[33178 44790 43661 14579  7234  5874 33909  2278 13136]	[ 0.  1.  2.  4.  5.  6.  7.  8. 13.]
scene0451_00	9	0.004580423856641177	2.761151855143694	[42255 49563 61581 11690  8455  5399 45783  7637 18474]	[ 0.  1.  2.  4.  5.  6.  7.  8. 13.]
scene0101_04	7	0.03826705587723916	2.138460033664118	[50165 20132  7699  5936  1795  5003  9963]	[0. 1. 2. 3. 4. 5. 8.]
scene0101_05	9	0.08154135100343976	2.4497240324533296	[44065 22523  7325  5953  2210  4980  2440  3120  9539]	[0. 1. 2. 3. 4. 5. 6. 7. 8.]
scene0018_00	5	0.0	1.7478785857032049	[25100 12460  9442  2070   905]	[0. 1. 2. 6. 7.]
scene0332_00	6	0.08749243629681092	2.0960928678841046	[34506 15177  9352  1930  7906  4646]	[0. 1. 3. 4. 7. 8.]
scene0332_01	6	0.030378568817097086	2.2234746877059237	[26492 13934  8441  1462  6839  8172]	[0. 1. 3. 4. 7. 8.]
scene0332_02	6	0.03781993621718865	2.178604927785276	[34762 19393  9487  2787 10444  5462]	[0. 1. 3. 4. 7. 8.]
scene0101_03	8	0.06899739264884493	2.3234966600557034	[51669 29467  8883  6533  2012  4644  5356 10587]	[0. 1. 2. 3. 4. 5. 7. 8.]
scene0127_01	6	0.04941981289562083	1.7766357982531031	[43692 31084 19036  4650   751   151]	[0. 1. 3. 4. 7. 8.]
scene0628_01	5	0.08563371635749775	1.9905716660707662	[34360 20419  8780  4037 10396]	[0. 1. 4. 7. 8.]
scene0127_00	6	0.05884922776450029	2.003505839420704	[43303 34511 16677  4749  6802  1378]	[0. 1. 3. 4. 7. 8.]
scene0218_00	5	0.17753778218974103	1.621007077063521	[ 3517 73696 15113 14020  9788]	[0. 1. 4. 5. 6.]
scene0628_00	5	0.09434931044111951	1.9701057443784595	[36951 19656  8498  3869 11863]	[0. 1. 4. 7. 8.]
scene0134_00	6	0.022947792662032722	2.4484568321904407	[26005 20536 13427 16054  5002 13000]	[0. 1. 2. 4. 6. 8.]
scene0101_01	8	0.09608009412052317	2.3444018598793672	[59944 34121 12516  6632  1883  5597  8400 11388]	[0. 1. 2. 3. 4. 5. 7. 8.]
scene0628_02	5	0.08762130838511485	1.9574614373979757	[39382 19605  8875  4438 11002]	[0. 1. 4. 7. 8.]
scene0087_00	7	0.0	2.233527545421905	[56529 33900 18792  8749  6468  3347  6375]	[ 0.  1.  4.  5.  6.  7. 13.]
scene0218_01	3	0.31503877786897605	1.1606130773686516	[ 8841 51455 12549]	[0. 1. 4.]
scene0101_02	8	0.057703604514125796	2.3209998089458255	[70402 31098 11933  9318  1779  4379 13212 11704]	[0. 1. 2. 3. 4. 5. 7. 8.]
scene0694_01	7	0.0	2.3200435067336267	[52290 65148  6642 20087 18286  8154  7895]	[0. 1. 2. 4. 5. 6. 8.]
scene0134_02	6	0.029780682303128688	2.4743458304287103	[23011 17477 21037 16152  4744 16584]	[0. 1. 2. 4. 6. 8.]
scene0101_00	9	0.06283367848224466	2.3694756466191484	[76297 30304 12477  7080  1376  5513  3471 16437 10250]	[0. 1. 2. 3. 4. 5. 6. 7. 8.]
scene0087_01	7	0.0	2.100628783247501	[74064 30371 17405  6651  5128  6149  6692]	[ 0.  1.  4.  5.  6.  7. 13.]
scene0134_01	6	0.018543976348854397	2.483427273048477	[17222 23517 17012 16972  5252 20860]	[0. 1. 2. 4. 6. 8.]
scene0694_00	7	0.0	2.233686090121928	[73490 57855  3838 17384 10956 10942 13230]	[0. 1. 2. 4. 5. 6. 8.]
scene0238_01	7	0.0	2.226853364093505	[36814 16448  2289  5702  8393  3530  5776]	[0. 1. 2. 4. 6. 7. 8.]
scene0087_02	7	0.0	2.142250856295576	[82764 31601 15914  8077  5467 10179  8963]	[ 0.  1.  4.  5.  6.  7. 13.]
scene0092_01	6	0.11648109888095222	1.9258619598666622	[36134 19109 12058  4125   696  3398]	[0. 1. 3. 4. 7. 8.]
scene0092_00	6	0.08047240543435369	1.9423352733721824	[38664 20359 12278  3779  1102  4336]	[0. 1. 3. 4. 7. 8.]
scene0238_00	6	0.0733529529797338	2.0145826025789635	[41818 20557  2653 10393  4150  6491]	[0. 1. 2. 4. 7. 8.]
scene0392_02	6	0.06265366446586922	2.187875757094583	[22866  7879  8114   583  5798  9453]	[0. 1. 3. 4. 5. 8.]
scene0092_02	6	0.10997999526203575	1.901214039548563	[40607 18097 14158  3565   934  3806]	[0. 1. 3. 4. 7. 8.]
scene0571_01	4	0.1535719562647754	1.7165851468043465	[18626  8645  2172  9139]	[0. 1. 2. 7.]
scene0571_00	4	0.13798997838145832	1.7923870204292913	[19139 10021  3369 10267]	[0. 1. 2. 7.]
scene0467_00	7	0.035011306208550225	2.5000562911735087	[21917 17484  6872  2942  7909  5077  5557]	[ 0.  1.  2.  4.  5.  6. 13.]
scene0424_00	5	0.30009537074519543	2.0493402596475527	[22608 14111  6637  5958  4295]	[0. 1. 4. 5. 7.]
scene0424_01	7	0.07904485451655263	2.461663450185776	[18094 11656 29409  6413  5722  2543  8940]	[0. 1. 2. 4. 5. 7. 8.]
scene0098_00	6	0.17428621347349416	2.1377262523711145	[30180 24181  3283 11049  5848  3890]	[0. 1. 2. 4. 7. 8.]
